pub_printlimit
pk_printlimit,billtypename
1001Z81000000000PO01,物资需求申请
1001Z81000000000PO02,请购单
1001Z81000000000PO03,请购单修订
1001Z81000000000PO04,采购订单
1001Z81000000000PO05,采购订单修订
1001Z81000000000PO06,到货单
1001Z81000000000PO07,采购发票

