pub_queryscheme
pk_queryscheme,name
0001Z81000000000024U,本周待修改
0001Z81000000000024V,快速查询
1003Z810000000000UVA,待委外
1003Z810000000003H02,待采购
1001Z8100000000087IZ,快速查询
0001Z81000000000024T,本周待审批
1002Z810000000004TM8,待修订
1001Z810000000013TNA,快速查询
