pub_queryscheme
pk_queryscheme,name
1002Z810000000005926,快速查询
0001Z810000000000255,快速查询
1001Z81000000000111E,本周待收货
1002Z81000000000A1W3,本周待审批
1002Z81000000000A1W4,本周待修改
1011Z810000000004FRQ,本周待入库
1003Z810000000009A3V,快速查询
1002Z81000000000TFF3,快速查询
1002Z810000000005920,快速查询
1002Z81000000000SGP8,快速查询
1002Z810000000005923,快速查询
1002Z810000000004Z0N,本月待关闭
1001Z810000000014TX6,快速查询
1002Z81000000000374A,待修订
1001Z810000000014EH7,快速查询
1001Z81000000000NKRY,快速查询
