pub_billaction
pk_billaction,actionnote,showhint
1002Z810000000002WY4,保存,
1002Z810000000002WY5,弃审,
1005Z810000000000335,作废,
1005Z810000000007ACH,修订,
1002Z810000000002WY3,审核,
1002Z810000000001TLB,送审,
1001Z81000000000CFPD,收回,
1001Z81000000000099G,作废,
1001Z81000000000099H,修订,
1001Z81000000000099I,审核,
1001Z81000000000099J,送审,
1001Z81000000000099K,收回,
1001Z81000000000099E,保存,
1001Z81000000000099F,弃审,
